,dimacs,solution,iterations,runtime
0,n_5_m_10,0,26,0.018733333333333334
1,n_5_m_10,0,50,0.0183
2,n_5_m_10,0,100,0.01815
3,n_5_m_10,0,200,0.01895
4,n_5_m_10,0,512,0.01805
5,n_5_m_10,1,26,0.01122857142857143
6,n_5_m_10,1,50,0.013342857142857144
7,n_5_m_10,1,100,0.012150000000000001
8,n_5_m_10,1,200,0.0117125
9,n_5_m_10,1,512,0.012525
10,n_5_m_11,0,26,0.018933333333333333
11,n_5_m_11,0,50,0.0183
12,n_5_m_11,0,100,0.0177
13,n_5_m_11,0,200,0.0193
14,n_5_m_11,0,512,0.01855
15,n_5_m_11,1,26,0.002657142857142857
16,n_5_m_11,1,50,0.0046250000000000015
17,n_5_m_11,1,100,0.004437500000000002
18,n_5_m_11,1,200,0.004500000000000002
19,n_5_m_11,1,512,0.004437500000000002
20,n_5_m_12,0,26,0.01822
21,n_5_m_12,0,50,0.017759999999999998
22,n_5_m_12,0,100,0.01728
23,n_5_m_12,0,200,0.0179
24,n_5_m_12,0,512,0.01774
25,n_5_m_12,1,26,0.007820000000000002
26,n_5_m_12,1,50,0.00732
27,n_5_m_12,1,100,0.00388
28,n_5_m_12,1,200,0.00388
29,n_5_m_12,1,512,0.0039
30,n_5_m_13,0,26,0.01867142857142857
31,n_5_m_13,0,50,0.01792
32,n_5_m_13,0,100,0.01744
33,n_5_m_13,0,200,0.0185
34,n_5_m_13,0,512,0.01802
35,n_5_m_13,1,26,0.0001
36,n_5_m_13,1,50,0.0035399999999999993
37,n_5_m_13,1,100,0.003459999999999999
38,n_5_m_13,1,200,0.0035599999999999994
39,n_5_m_13,1,512,0.00368
40,n_5_m_14,0,26,0.018160000000000003
41,n_5_m_14,0,50,0.01785
42,n_5_m_14,0,100,0.01695
43,n_5_m_14,0,200,0.01785
44,n_5_m_14,0,512,0.017275
45,n_5_m_14,1,26,0.0001
46,n_5_m_14,1,50,0.0030333333333333336
47,n_5_m_14,1,100,0.00305
48,n_5_m_14,1,200,0.00325
49,n_5_m_14,1,512,0.002916666666666667
50,n_5_m_15,0,26,0.0183
51,n_5_m_15,0,50,0.01794
52,n_5_m_15,0,100,0.01754
53,n_5_m_15,0,200,0.01956
54,n_5_m_15,0,512,0.017660000000000002
55,n_5_m_15,1,26,0.000125
56,n_5_m_15,1,50,0.00354
57,n_5_m_15,1,100,0.0035000000000000005
58,n_5_m_15,1,200,0.00356
59,n_5_m_15,1,512,0.0036000000000000003
60,n_5_m_16,0,26,0.018385714285714286
61,n_5_m_16,0,50,0.018571428571428572
62,n_5_m_16,0,100,0.018600000000000002
63,n_5_m_16,0,200,0.019442857142857144
64,n_5_m_16,0,512,0.018671428571428568
65,n_5_m_16,1,26,0.0001
66,n_5_m_16,1,50,0.0001
67,n_5_m_16,1,100,0.0001
68,n_5_m_16,1,200,0.0001
69,n_5_m_16,1,512,0.0001
70,n_5_m_17,0,26,0.0189
71,n_5_m_17,0,50,0.018233333333333334
72,n_5_m_17,0,100,0.018266666666666667
73,n_5_m_17,0,200,0.019366666666666667
74,n_5_m_17,0,512,0.018566666666666665
75,n_5_m_17,1,26,0.0001
76,n_5_m_17,1,50,0.0001
77,n_5_m_17,1,100,0.0001
78,n_5_m_17,1,200,0.0001
79,n_5_m_17,1,512,0.0001
80,n_5_m_18,0,26,0.018385714285714283
81,n_5_m_18,0,50,0.01796666666666667
82,n_5_m_18,0,100,0.01735
83,n_5_m_18,0,200,0.018516666666666667
84,n_5_m_18,0,512,0.017650000000000002
85,n_5_m_18,1,26,0.0001
86,n_5_m_18,1,50,0.00445
87,n_5_m_18,1,100,0.004549999999999999
88,n_5_m_18,1,200,0.004475
89,n_5_m_18,1,512,0.004325
90,n_5_m_19,0,26,0.019166666666666665
91,n_5_m_19,0,50,0.018099999999999998
92,n_5_m_19,0,100,0.018366666666666667
93,n_5_m_19,0,200,0.01865
94,n_5_m_19,0,512,0.018116666666666666
95,n_5_m_19,1,26,0.0001
96,n_5_m_19,1,50,0.004424999999999999
97,n_5_m_19,1,100,0.0043749999999999995
98,n_5_m_19,1,200,0.004625
99,n_5_m_19,1,512,0.004549999999999999
100,n_5_m_20,0,26,0.018875
101,n_5_m_20,0,50,0.0185375
102,n_5_m_20,0,100,0.0181125
103,n_5_m_20,0,200,0.019637500000000002
104,n_5_m_20,0,512,0.0204
105,n_5_m_20,1,26,0.0001
106,n_5_m_20,1,50,0.0001
107,n_5_m_20,1,100,0.0001
108,n_5_m_20,1,200,0.0001
109,n_5_m_20,1,512,0.0001
110,n_5_m_21,0,26,0.018383333333333335
111,n_5_m_21,0,50,0.018762499999999998
112,n_5_m_21,0,100,0.0178625
113,n_5_m_21,0,200,0.01865
114,n_5_m_21,0,512,0.018175
115,n_5_m_21,1,26,0.0048000000000000004
116,n_5_m_21,1,50,0.00925
117,n_5_m_21,1,100,0.0091
118,n_5_m_21,1,200,0.00945
119,n_5_m_21,1,512,0.0091
120,n_5_m_22,0,26,0.019039999999999998
121,n_5_m_22,0,50,0.01982
122,n_5_m_22,0,100,0.01766
123,n_5_m_22,0,200,0.018869999999999998
124,n_5_m_22,0,512,0.0187
125,n_5_m_23,0,26,0.01902857142857143
126,n_5_m_23,0,50,0.019442857142857144
127,n_5_m_23,0,100,0.018171428571428568
128,n_5_m_23,0,200,0.018485714285714282
129,n_5_m_23,0,512,0.018785714285714288
130,n_5_m_23,1,26,0.0062
131,n_5_m_23,1,50,0.005833333333333333
132,n_5_m_23,1,100,0.005899999999999999
133,n_5_m_23,1,200,0.006366666666666666
134,n_5_m_23,1,512,0.0065
135,n_5_m_24,0,26,0.01934
136,n_5_m_24,0,50,0.018370000000000004
137,n_5_m_24,0,100,0.01802
138,n_5_m_24,0,200,0.01913
139,n_5_m_24,0,512,0.01924
