,index,iterations,dimacs,runtime,solution
0,600,512,n_5_m_10,0.0001,"[False,True,False,False,False]"
1,601,512,n_5_m_11,0.0295,0
2,602,512,n_5_m_12,0.0001,"[True,True,False,True,True]"
3,603,512,n_5_m_13,0.0001,"[True,True,False,True,True]"
4,604,512,n_5_m_14,0.0001,"[True,True,True,True,False]"
5,605,512,n_5_m_15,0.0001,"[True,True,False,True,False]"
6,606,512,n_5_m_16,0.0001,"[False,True,True,False,True]"
7,607,512,n_5_m_17,0.0174,0
8,608,512,n_5_m_18,0.0174,0
9,609,512,n_5_m_19,0.0166,0
10,610,512,n_5_m_20,0.0182,0
11,611,512,n_5_m_21,0.0001,"[True,False,True,False,True]"
12,612,512,n_5_m_22,0.0181,0
13,613,512,n_5_m_23,0.0188,"[False,True,False,True,False]"
14,614,512,n_5_m_24,0.0177,0
15,615,512,n_5_m_10,0.0001,"[False,False,True,True,False]"
16,616,512,n_5_m_11,0.0001,"[False,False,False,False,True]"
17,617,512,n_5_m_12,0.0001,"[False,False,False,True,True]"
18,618,512,n_5_m_13,0.0179,0
19,619,512,n_5_m_14,0.0001,"[True,False,False,False,False]"
20,620,512,n_5_m_15,0.0001,"[False,False,True,False,False]"
21,621,512,n_5_m_16,0.0172,0
22,622,512,n_5_m_17,0.019,0
23,623,512,n_5_m_18,0.0173,0
24,624,512,n_5_m_19,0.017,"[False,True,True,False,True]"
25,625,512,n_5_m_20,0.0171,0
26,626,512,n_5_m_21,0.0184,0
27,627,512,n_5_m_22,0.0232,0
28,628,512,n_5_m_23,0.017,0
29,629,512,n_5_m_24,0.0192,0
30,630,512,n_5_m_10,0.0182,0
31,631,512,n_5_m_11,0.0171,"[True,False,False,False,True]"
32,632,512,n_5_m_12,0.0001,"[False,True,False,True,True]"
33,633,512,n_5_m_13,0.0178,0
34,634,512,n_5_m_14,0.0177,0
35,635,512,n_5_m_15,0.0174,0
36,636,512,n_5_m_16,0.0001,"[True,True,True,True,False]"
37,637,512,n_5_m_17,0.0184,0
38,638,512,n_5_m_18,0.0001,"[False,False,True,False,False]"
39,639,512,n_5_m_19,0.0179,0
40,640,512,n_5_m_20,0.0172,0
41,641,512,n_5_m_21,0.0182,0
42,642,512,n_5_m_22,0.0174,0
43,643,512,n_5_m_23,0.0195,0
44,644,512,n_5_m_24,0.0175,0
45,645,512,n_5_m_10,0.0171,"[False,True,False,True,True]"
46,646,512,n_5_m_11,0.0169,"[True,True,False,False,True]"
47,647,512,n_5_m_12,0.0171,0
48,648,512,n_5_m_13,0.0175,0
49,649,512,n_5_m_14,0.0166,0
50,650,512,n_5_m_15,0.0001,"[False,True,False,True,True]"
51,651,512,n_5_m_16,0.0001,"[True,False,True,True,False]"
52,652,512,n_5_m_17,0.0001,"[True,False,False,False,True]"
53,653,512,n_5_m_18,0.0001,"[True,True,True,True,False]"
54,654,512,n_5_m_19,0.0175,0
55,655,512,n_5_m_20,0.0173,0
56,656,512,n_5_m_21,0.0172,0
57,657,512,n_5_m_22,0.0172,0
58,658,512,n_5_m_23,0.0001,"[True,False,True,False,False]"
59,659,512,n_5_m_24,0.0173,0
60,660,512,n_5_m_10,0.0001,"[True,True,True,True,False]"
61,661,512,n_5_m_11,0.0001,"[False,True,False,False,False]"
62,662,512,n_5_m_12,0.0172,0
63,663,512,n_5_m_13,0.017,"[False,True,True,True,True]"
64,664,512,n_5_m_14,0.0001,"[True,False,True,False,False]"
65,665,512,n_5_m_15,0.0168,0
66,666,512,n_5_m_16,0.0196,0
67,667,512,n_5_m_17,0.0173,0
68,668,512,n_5_m_18,0.0179,"[True,False,False,True,True]"
69,669,512,n_5_m_19,0.0001,"[False,True,False,True,True]"
70,670,512,n_5_m_20,0.0001,"[True,True,False,True,True]"
71,671,512,n_5_m_21,0.0185,0
72,672,512,n_5_m_22,0.019,0
73,673,512,n_5_m_23,0.0183,0
74,674,512,n_5_m_24,0.0197,0
75,675,512,n_5_m_10,0.0201,"[True,True,True,False,False]"
76,676,512,n_5_m_11,0.0001,"[False,True,False,False,True]"
77,677,512,n_5_m_12,0.0001,"[False,False,True,False,False]"
78,678,512,n_5_m_13,0.0176,0
79,679,512,n_5_m_14,0.0181,"[True,True,True,True,True]"
80,680,512,n_5_m_15,0.0001,"[False,True,False,True,False]"
81,681,512,n_5_m_16,0.0199,0
82,682,512,n_5_m_17,0.0001,"[False,False,True,False,True]"
83,683,512,n_5_m_18,0.0184,0
84,684,512,n_5_m_19,0.0186,0
85,685,512,n_5_m_20,0.0189,0
86,686,512,n_5_m_21,0.0187,0
87,687,512,n_5_m_22,0.0181,0
88,688,512,n_5_m_23,0.0001,"[True,False,False,False,False]"
89,689,512,n_5_m_24,0.0213,0
90,690,512,n_5_m_10,0.0189,"[False,True,True,True,True]"
91,691,512,n_5_m_11,0.0001,"[False,True,False,True,True]"
92,692,512,n_5_m_12,0.019,0
93,693,512,n_5_m_13,0.0001,"[False,True,True,False,True]"
94,694,512,n_5_m_14,0.0001,"[False,False,False,True,False]"
95,695,512,n_5_m_15,0.0189,0
96,696,512,n_5_m_16,0.0204,0
97,697,512,n_5_m_17,0.0001,"[False,True,True,False,False]"
98,698,512,n_5_m_18,0.0183,0
99,699,512,n_5_m_19,0.0191,0
100,700,512,n_5_m_20,0.018000000000000002,0
101,701,512,n_5_m_21,0.0189,0
102,702,512,n_5_m_22,0.0182,0
103,703,512,n_5_m_23,0.0183,0
104,704,512,n_5_m_24,0.0225,0
105,705,512,n_5_m_10,0.02,0
106,706,512,n_5_m_11,0.0001,"[False,True,False,False,False]"
107,707,512,n_5_m_12,0.0193,"[True,True,True,True,True]"
108,708,512,n_5_m_13,0.0001,"[True,True,True,False,False]"
109,709,512,n_5_m_14,0.0181,0
110,710,512,n_5_m_15,0.0179,"[True,False,False,True,True]"
111,711,512,n_5_m_16,0.0198,0
112,712,512,n_5_m_17,0.0001,"[False,True,True,False,False]"
113,713,512,n_5_m_18,0.0001,"[False,False,False,False,False]"
114,714,512,n_5_m_19,0.0001,"[False,False,False,True,False]"
115,715,512,n_5_m_20,0.0209,0
116,716,512,n_5_m_21,0.0189,"[True,False,False,False,False]"
117,717,512,n_5_m_22,0.0195,0
118,718,512,n_5_m_23,0.0192,0
119,719,512,n_5_m_24,0.0196,0
120,720,512,n_5_m_10,0.0207,"[False,False,True,False,False]"
