,iterations,dimacs,runtime,solution,minisat_satisfiability,minisat_solution
0,26,n_5_m_10,0.0001,"[False,False,False,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
1,26,n_5_m_11,0.0215,0, SATISFIABLE,v -1 -2 -3 -4 -5 0
2,26,n_5_m_12,0.0001,"[True,True,False,True,True]", SATISFIABLE,v -1 -2 -3 -4 5 0
3,26,n_5_m_13,0.0176,0, SATISFIABLE,v 1 -2 -3 4 -5 0
4,26,n_5_m_14,0.0001,"[True,True,True,True,False]", SATISFIABLE,v -1 2 -3 4 -5 0
5,26,n_5_m_15,0.0001,"[True,True,False,True,False]", SATISFIABLE,v -1 -2 -3 4 -5 0
6,26,n_5_m_16,0.0001,"[False,True,True,False,True]", SATISFIABLE,v -1 2 3 -4 5 0
7,26,n_5_m_17,0.0178,0, SATISFIABLE,v -1 -2 -3 4 -5 0
8,26,n_5_m_18,0.0181,0, SATISFIABLE,v 1 2 -3 -4 5 0
9,26,n_5_m_19,0.0176,0, UNSATISFIABLE,0
10,26,n_5_m_20,0.019,0, SATISFIABLE,v -1 -2 -3 -4 5 0
11,26,n_5_m_21,0.0001,"[True,False,True,False,True]", SATISFIABLE,v -1 2 3 4 5 0
12,26,n_5_m_22,0.0191,0, SATISFIABLE,v 1 -2 3 -4 5 0
13,26,n_5_m_23,0.0184,"[False,True,False,True,False]", SATISFIABLE,v -1 2 -3 4 -5 0
14,26,n_5_m_24,0.0186,0, SATISFIABLE,v 1 2 -3 -4 -5 0
15,26,n_5_m_10,0.0001,"[False,False,True,False,False]", SATISFIABLE,v -1 -2 -3 -4 -5 0
16,26,n_5_m_11,0.0001,"[False,False,False,False,True]", SATISFIABLE,v -1 -2 -3 -4 5 0
17,26,n_5_m_12,0.0182,"[False,True,False,True,True]", SATISFIABLE,v -1 2 -3 4 -5 0
18,26,n_5_m_13,0.018,0, SATISFIABLE,v -1 2 -3 4 -5 0
19,26,n_5_m_14,0.0001,"[True,False,False,False,False]", SATISFIABLE,v -1 -2 -3 4 -5 0
20,26,n_5_m_15,0.0001,"[False,False,True,False,False]", SATISFIABLE,v -1 -2 3 -4 -5 0
21,26,n_5_m_16,0.0184,0, SATISFIABLE,v -1 -2 -3 -4 5 0
22,26,n_5_m_17,0.0206,0, SATISFIABLE,v -1 -2 3 -4 -5 0
23,26,n_5_m_18,0.019,0, SATISFIABLE,v -1 2 3 4 -5 0
24,26,n_5_m_19,0.0001,"[False,True,True,False,True]", SATISFIABLE,v -1 -2 -3 4 -5 0
25,26,n_5_m_20,0.0181,0, UNSATISFIABLE,0
26,26,n_5_m_21,0.0001,"[True,True,False,False,True]", SATISFIABLE,v -1 -2 -3 4 -5 0
27,26,n_5_m_22,0.018,0, UNSATISFIABLE,0
28,26,n_5_m_23,0.0184,0, UNSATISFIABLE,0
29,26,n_5_m_24,0.0199,0, UNSATISFIABLE,0
30,26,n_5_m_10,0.0172,0, SATISFIABLE,v -1 2 -3 4 -5 0
31,26,n_5_m_11,0.0173,"[True,False,False,False,True]", SATISFIABLE,v -1 2 -3 -4 -5 0
32,26,n_5_m_12,0.018,0, SATISFIABLE,v -1 2 -3 -4 -5 0
33,26,n_5_m_13,0.0175,0, SATISFIABLE,v -1 2 -3 -4 -5 0
34,26,n_5_m_14,0.0175,0, SATISFIABLE,v 1 -2 3 -4 -5 0
35,26,n_5_m_15,0.0172,0, SATISFIABLE,v -1 -2 3 -4 -5 0
36,26,n_5_m_16,0.0001,"[True,True,True,True,False]", SATISFIABLE,v -1 2 3 -4 -5 0
