,dimacs,satisfiability,sat_ass
0,n_5_m_10, SATISFIABLE,v 1 -2 -3 -4 5 0
1,n_5_m_11, UNSATISFIABLE,0
2,n_5_m_12, SATISFIABLE,v -1 2 -3 -4 -5 0
3,n_5_m_13, SATISFIABLE,v -1 2 -3 -4 5 0
4,n_5_m_14, SATISFIABLE,v 1 -2 3 -4 5 0
5,n_5_m_15, SATISFIABLE,v -1 2 -3 4 -5 0
6,n_5_m_16, SATISFIABLE,v -1 2 3 -4 -5 0
7,n_5_m_17, SATISFIABLE,v -1 2 3 -4 -5 0
8,n_5_m_18, SATISFIABLE,v -1 2 -3 4 -5 0
9,n_5_m_19, UNSATISFIABLE,0
10,n_5_m_20, SATISFIABLE,v -1 -2 -3 4 -5 0
11,n_5_m_21, SATISFIABLE,v -1 -2 3 -4 -5 0
12,n_5_m_22, UNSATISFIABLE,0
13,n_5_m_23, UNSATISFIABLE,0
14,n_5_m_24, SATISFIABLE,v -1 2 3 -4 -5 0
15,n_5_m_10, SATISFIABLE,v 1 -2 -3 4 5 0
16,n_5_m_11, SATISFIABLE,v -1 -2 -3 -4 -5 0
17,n_5_m_12, SATISFIABLE,v -1 2 -3 -4 5 0
18,n_5_m_13, SATISFIABLE,v 1 -2 -3 4 5 0
19,n_5_m_14, UNSATISFIABLE,0
20,n_5_m_15, SATISFIABLE,v -1 -2 -3 -4 -5 0
21,n_5_m_16, SATISFIABLE,v -1 2 -3 4 -5 0
22,n_5_m_17, UNSATISFIABLE,0
23,n_5_m_18, SATISFIABLE,v -1 2 3 -4 -5 0
24,n_5_m_19, UNSATISFIABLE,0
25,n_5_m_20, SATISFIABLE,v -1 2 -3 4 -5 0
26,n_5_m_21, SATISFIABLE,v -1 -2 3 -4 -5 0
27,n_5_m_22, UNSATISFIABLE,0
28,n_5_m_23, SATISFIABLE,v 1 -2 3 -4 -5 0
29,n_5_m_24, SATISFIABLE,v -1 2 -3 -4 -5 0
30,n_5_m_10, SATISFIABLE,v -1 -2 -3 -4 -5 0
31,n_5_m_11, UNSATISFIABLE,0
32,n_5_m_12, UNSATISFIABLE,0
33,n_5_m_13, SATISFIABLE,v -1 -2 3 -4 -5 0
34,n_5_m_14, SATISFIABLE,v -1 -2 -3 -4 5 0
35,n_5_m_15, SATISFIABLE,v 1 -2 -3 4 -5 0
36,n_5_m_16, SATISFIABLE,v -1 -2 -3 -4 5 0
37,n_5_m_17, SATISFIABLE,v -1 2 3 4 -5 0
38,n_5_m_18, SATISFIABLE,v -1 2 3 -4 -5 0
39,n_5_m_19, SATISFIABLE,v -1 2 -3 -4 -5 0
40,n_5_m_20, SATISFIABLE,v -1 2 -3 4 -5 0
41,n_5_m_21, UNSATISFIABLE,0
42,n_5_m_22, SATISFIABLE,v 1 -2 -3 -4 -5 0
43,n_5_m_23, SATISFIABLE,v -1 -2 3 4 5 0
44,n_5_m_24, SATISFIABLE,v -1 -2 3 4 -5 0
45,n_5_m_10, SATISFIABLE,v 1 -2 3 -4 5 0
46,n_5_m_11, SATISFIABLE,v -1 -2 -3 4 -5 0
47,n_5_m_12, SATISFIABLE,v 1 -2 -3 -4 5 0
48,n_5_m_13, SATISFIABLE,v -1 -2 -3 -4 -5 0
49,n_5_m_14, SATISFIABLE,v -1 2 -3 4 5 0
50,n_5_m_15, SATISFIABLE,v 1 2 3 -4 -5 0
51,n_5_m_16, SATISFIABLE,v -1 -2 -3 4 -5 0
52,n_5_m_17, SATISFIABLE,v -1 2 -3 -4 -5 0
53,n_5_m_18, SATISFIABLE,v -1 2 3 -4 -5 0
54,n_5_m_19, SATISFIABLE,v -1 -2 -3 4 -5 0
55,n_5_m_20, SATISFIABLE,v -1 2 -3 -4 -5 0
56,n_5_m_21, SATISFIABLE,v -1 -2 -3 -4 -5 0
57,n_5_m_22, SATISFIABLE,v -1 -2 3 4 5 0
58,n_5_m_23, UNSATISFIABLE,0
59,n_5_m_24, SATISFIABLE,v -1 2 -3 -4 -5 0
60,n_5_m_10, SATISFIABLE,v -1 2 3 4 5 0
61,n_5_m_11, SATISFIABLE,v -1 -2 -3 4 -5 0
62,n_5_m_12, SATISFIABLE,v -1 -2 3 -4 5 0
63,n_5_m_13, SATISFIABLE,v -1 -2 -3 -4 5 0
64,n_5_m_14, SATISFIABLE,v 1 -2 3 4 5 0
65,n_5_m_15, SATISFIABLE,v -1 -2 -3 -4 -5 0
66,n_5_m_16, SATISFIABLE,v -1 2 3 -4 -5 0
67,n_5_m_17, SATISFIABLE,v -1 2 -3 -4 -5 0
68,n_5_m_18, SATISFIABLE,v -1 2 3 4 -5 0
69,n_5_m_19, SATISFIABLE,v -1 2 -3 -4 -5 0
70,n_5_m_20, SATISFIABLE,v -1 -2 -3 -4 -5 0
71,n_5_m_21, SATISFIABLE,v -1 2 -3 4 -5 0
72,n_5_m_22, SATISFIABLE,v -1 2 -3 4 -5 0
73,n_5_m_23, UNSATISFIABLE,0
74,n_5_m_24, SATISFIABLE,v 1 -2 -3 4 5 0
75,n_5_m_10, UNSATISFIABLE,0
76,n_5_m_11, SATISFIABLE,v -1 2 -3 4 -5 0
